공격 순서를 바꿔보세요	Try changing the attack order	攻撃順を変えてみましょう
같은 동료로도 행동 순서를 바꾸면 다른 전투를 만들 수 있습니다.	A different action order can change a battle, even with the same team.	同じ仲間でも、行動順を変えると戦い方が変わります。
전투 준비 화면에서 하단 동료 초상화를 끌어 공격 순서를 바꿀 수 있습니다.	Drag the portraits at the bottom of the preparation screen to change attack order.	戦闘準備画面の下にある仲間のアイコンをドラッグして攻撃順を変えられます。
각 동료가 어떤 스킬을 쓸지 먼저 보고, 그 스킬을 사용할 순서를 정하세요.	Check each ally’s skills, then decide the order in which to use them.	仲間が使うスキルを確認してから、使用する順番を決めましょう。
공격 순서를 바꾼 뒤에는 출전 동료의 위치도 함께 살펴보세요.	After changing the attack order, review your allies’ positions too.	攻撃順を変えたら、出撃する仲間の配置も確認しましょう。
다음 행동: 전투 하나에서 공격 순서만 바꿔 보고 결과를 비교해 보세요.	Try this: change only the attack order in one battle and compare the result.	次の一歩：一つの戦闘で攻撃順だけを変えて、結果を比べてみましょう。
공격할 때와 버틸 때의 배치	Position for attack and defense	攻めるとき・耐えるときの配置
공격 턴과 방어 턴에 필요한 위치는 다를 수 있습니다.	Attack and defense turns may call for different positions.	攻撃ターンと防御ターンでは、必要な配置が変わることがあります。
공격 턴과 방어 턴에는 출전 동료의 위치를 변경할 수 있습니다.	You can reposition deployed allies during attack and defense turns.	攻撃ターンと防御ターンで、出撃中の仲間の位置を変えられます。
공격할 때는 적을 공격하기 유리한 위치로 동료를 옮기세요.	On attack, move allies to positions that help them reach their targets.	攻撃時は、敵を攻撃しやすい位置へ仲間を移動させましょう。
방어할 때는 상대 공격을 견디기 유리한 위치를 다시 생각해 보세요.	On defense, reconsider your formation to better withstand enemy attacks.	防御時は、相手の攻撃に耐えやすい配置を考え直しましょう。
다음 행동: 이기기 어려운 전투에서는 육성에 앞서 공격·방어 배치를 각각 점검해 보세요.	Try this: before investing in upgrades for a difficult battle, check both formations.	次の一歩：難しい戦闘では、育成の前に攻撃・防御それぞれの配置を確認しましょう。
SP를 남겨 다음 스킬을 준비하세요	Save SP for your next skill	次のスキルに備えてSPを残す
SP는 스킬을 사용하는 데 필요한 자원입니다.	SP is the resource you spend to use skills.	SPはスキルの使用に必要なリソースです。
코스튬 스킬을 사용할 때 SP를 소모합니다. 사용할 스킬들의 비용을 먼저 확인하세요.	Costume skills consume SP. Check the cost of the skills you plan to use.	コスチュームスキルはSPを消費します。使うスキルの消費量を先に確認しましょう。
일반 공격과 SP를 획득하는 스킬도 자원 운영에 활용할 수 있습니다.	Basic attacks and SP-generating skills can help manage your resources.	通常攻撃やSPを獲得するスキルも、リソース管理に活用できます。
한 번에 모든 스킬을 쓰기보다 다음 공격에 필요한 SP도 함께 생각해 보세요.	Before using every skill at once, consider the SP needed for your next attack.	一度にすべてのスキルを使う前に、次の攻撃に必要なSPも考えましょう。
다음 행동: 사용하려는 스킬의 SP 비용을 확인하고, 부족하면 일반 공격을 섞어 순서를 다시 구성하세요.	Try this: check your skill costs. If SP is short, mix in basic attacks and reorder actions.	次の一歩：SPが足りなければ通常攻撃も組み込み、行動順を組み直しましょう。
같은 동료, 다른 코스튬 스킬	Same ally, different costume skills	同じ仲間、異なるコスチュームスキル
코스튬은 모습뿐 아니라 전투에서 쓸 수 있는 스킬도 바꿉니다.	Costumes change both appearance and the skills available in battle.	コスチュームは見た目だけでなく、戦闘で使えるスキルも変えます。
전투 중 코스튬을 교체해 상황에 맞는 스킬을 사용할 수 있습니다.	Switch costumes during battle to use skills suited to the situation.	戦闘中にコスチュームを切り替え、状況に合ったスキルを使えます。
공식 가이드상 코스튬별 스킬은 쿨타임을 공유하지 않습니다. 여러 코스튬을 함께 살펴보세요.	The official guide describes separate cooldowns for each costume’s skills. Review your options together.	公式ガイドではコスチュームごとにスキルのクールタイムが独立しています。複数のコスチュームを見比べましょう。
중복으로 얻은 코스튬의 도안은 강화에 사용됩니다. 강화 효과에는 스킬 성능, 쿨타임, SP 비용 변화 등이 있습니다.	Duplicate costume designs are used for upgrades, which may affect skill strength, cooldowns or SP cost.	重複して獲得したコスチュームの図案は強化に使います。強化でスキル性能、クールタイム、SP消費などが変わります。
