브라운더스트2 홈	BrownDust2 home	ブラウンダスト2 ホーム
브라운더스트2 다운로드	Download BrownDust2	ブラウンダスト2をダウンロード
브라운더스트2	BrownDust2	ブラウンダスト2
모험의 시작	Your adventure begins	冒険の始まり
캐릭터 · 코스튬	Characters & Costumes	キャラクター・コスチューム
게임 소개	Explore the game	ゲーム紹介
게임 다운로드	Download	ダウンロード
게임 가이드 더 보기	Explore all guides	ガイドをもっと見る
게임 가이드	Game Guide	ゲームガイド
팩 시스템 알아보기	Explore the pack system	カセットシステムを見る
팩 시스템	Pack System	カセットシステム
세계관	World	世界観
미디어 더 보기	More films	映像をもっと見る
미디어	Media	メディア
다운로드	Download	ダウンロード
메뉴	Menu	メニュー
고객지원	Support	サポート
쿠폰 입력	Redeem a code	クーポン入力
웹상점	Web Shop	ウェブショップ
리뉴얼 검토 시안	Website redesign preview	リニューアルプレビュー
임시 샘플	Temporary sample	仮サンプル
스크롤로 앞뒤로 움직이는 임시 샘플 영상	Sample video controlled by scrolling	スクロールで進む・戻る仮サンプル映像
한 장의 팩,	One pack,	ひとつのカセットから、
끝없는 세계.	Endless worlds.	果てしない世界へ。
모험 시작하기	Begin your adventure	冒険を始める
아래로 진행 · 위로 되감기	Scroll down to advance · up to rewind	下へ進む・上へ戻る
영상 건너뛰기	Skip the film	映像をスキップ
모험가를 위한 소식	Adventurer’s news	冒険者へのお知らせ
평화의 끝에서,	Where peace ends,	平和の終わりに、
모험은 시작된다.	Adventure begins.	冒険が始まる。
다섯 왕국 아래 평화를 누리던 스베른 대륙.	The continent of Svern once knew peace under five kingdoms.	五つの王国のもと、平和が続いていたスベルン大陸。
어두운 마력의 그림자가 왕국들의 운명을 뒤틀고,	Dark magic now casts a shadow over their fate.	暗い魔力の影が王国の運命をゆがめ、
전쟁의 불씨는 조용한 루고 마을로 향합니다.	The embers of war reach the quiet village of Lugo.	戦火は静かなルーゴ村へと迫ります。
스베른의 이야기	Discover Svern	スベルンの物語
이야기 너머,	Beyond the story,	物語の先に、
당신을 기다리는 만남.	Unforgettable encounters.	あなたを待つ出会い。
잊을 수 없는 만남.	Encounters to remember.	忘れられない出会い。
